zip_code;city;lat;lng;ne_lat;ne_lng;sw_lat;sw_lng
18279;Wattmannshagen;53.7602;12.3872;53.8337;12.4962;53.6605;12.2829
17217;Puchow;53.5235;13.0511;53.5682;13.1852;53.4612;12.965
17153;Zettemin;53.6689;12.9308;53.7745;13.0565;53.5894;12.7891
17139;Schwinkendorf;53.7306;12.7695;53.8467;12.9124;53.586;12.6234
17237;Wokuhl-Dabelow;53.3715;13.2305;53.4795;13.4209;53.2166;12.8439
16798;Zootzen;53.1501;13.2482;53.2512;13.3668;53.0519;13.0267
17279;Lychen;53.2177;13.3287;53.2807;13.4297;53.1118;13.2398
15328;Zechin;52.5613;14.5222;52.6475;14.6397;52.4691;14.413
25826;Sankt Peter-Ording;54.3048;8.65222;54.346;8.70656;54.266;8.59142
25889;Witzwort;54.4158;9.01507;54.4354;9.06107;54.3759;8.90517
